road,id,model_type,break_prob,name,lat,lon,length,condition
N1,N1_link137,link,,,22.28111738737055,91.99448203761315,3448.9999999999554,
N1,N1_LRP263b,bridge,0.0,KHORNA CULVERT,22.2710895749999,92.00559725,3.0,
N1,N1_link138,link,,,22.26301352873125,92.00794968936565,1903.00000000002,
N1,N1_LRP265a,bridge,0.0,MOJAFFARABAD,22.2549374824626,92.0103021287313,9.2,
N1,N1_link139,link,,,22.25402872193035,92.0111370008398,269.00000000000546,
N1,N1_LRP265b,bridge,0.0,MOJAFFORABAD BOX CULVERT,22.2531199613981,92.0119718729483,6.0,
N1,N1_link140,link,,,22.25091648815715,92.01390298776789,651.9999999999868,
N1,N1_LRP267a,bridge,0.0,MOJAFFORABAD,22.2487130149162,92.0158341025875,9.4,
N1,N1_link141,link,,,22.2445495862681,92.01881296809955,1247.9999999999905,
N1,N1_LRP268a,bridge,0.0,ROWSONAT CUL,22.24038615762,92.0217918336116,14.0,
N1,N1_link142,link,,,22.2385103554287,92.0225282912662,466.0000000000082,
N1,N1_LRP268b,bridge,0.0,KANCHANAGAR CUL,22.2366345532374,92.0232647489208,14.0,
N1,N1_link143,link,,,22.22945327151665,92.02532167343995,1521.9999999999914,
N1,N1_LRP270a,bridge,0.0,GASBAREA BOX CULVERT,22.2222719897959,92.0273785979591,14.0,
N1,N1_link144,link,,,22.21892967014065,92.02820081868825,782.0000000000391,
N1,N1_LRP271a,bridge,0.0,GASBAREA COLLEGE BOX CULVERT,22.2155873504854,92.0290230394174,9.2,
N1,N1_link145,link,,,22.18271983252425,92.04932805563101,9473.999999999989,
N1,N1_LRP280a,bridge,0.0,KATGOR CULVERT,22.1498523145631,92.0696330718446,9.2,
N1,N1_link146,link,,,22.1434022737486,92.06978159999414,1445.9999999999695,
N1,N1_LRP282a,bridge,0.0,MOULOVER DOKAN,22.1369522329341,92.0699301281437,12.4,
N1,N1_link147,link,,,22.1347365378956,92.07004333239479,500.0,
N1,N1_LRP282c,bridge,0.0,PATATR PULL CULVERT,22.1325208428571,92.0701565366459,15.4,
N1,N1_link148,link,,,22.1277992209144,92.07092879248745,1064.0000000000214,
N1,N1_LRP283c,bridge,0.0,NOYAKHALARMUK,22.1230775989717,92.071701048329,15.4,
N1,N1_link149,link,,,22.1217825498186,92.07183578090326,343.00000000001774,
N1,N1_LRP283d,bridge,0.0,NOYA KHALAR MUK (KARANIERHAT) BOX CULVERT,22.1204875006655,92.0719705134775,20.4,
N1,N1_link150,link,,,22.1169199928859,92.0723287088664,841.9999999999845,
N1,N1_LRP284a,bridge,0.0,KARANERHAT CULVERT,22.1133524851063,92.0726869042553,5.0,
N1,N1_link151,link,,,22.10581552755315,92.07374366312766,1560.0000000000023,
N1,N1_LRP286b,bridge,0.0,KARANERHAT CULVERT,22.09827857,92.074800422,7.2,
N1,N1_link152,link,,,22.0959280352252,92.07765261077475,829.9999999999841,
N1,N1_LRP287a,bridge,0.0,KOACHIA(MADARBHI),22.0935775004504,92.0805047995495,11.2,
N1,N1_link153,link,,,22.08882216601465,92.08685086867425,1706.9999999999936,
N1,N1_LRP288a,bridge,0.0,MITADIGI ACADEMY,22.0840668315789,92.093196937799,2.0,
N1,N1_link154,link,,,22.08229371978945,92.09584123461374,708.0000000000268,
N1,N1_LRP289a,bridge,0.0,MITADIGI,22.080520608,92.0984855314285,12.6,
N1,N1_link155,link,,,22.07504034467795,92.10138047757864,1399.9999999999773,
N1,N1_LRP291a,bridge,0.0009569377990430622,RAJGHATA BRIDGE,22.0695600813559,92.1042754237288,30.3,
N1,N1_link156,link,,,22.0687350185931,92.10491421363115,235.99999999999,
N1,N1_LRP291c,bridge,0.0,THAKUR DIGI BOX CULVERT,22.0679099558303,92.1055530035335,2.0,
N1,N1_link157,link,,,22.064398052915152,92.10664318676675,855.0000000000182,
N1,N1_LRP292a,bridge,0.0,NOYA PARA BOX CULVERT,22.06088615,92.10773337,2.5,
N1,N1_link158,link,,,22.05869563276695,92.10840941461166,509.9999999999909,
N1,N1_LRP292b,bridge,0.0,PODUA NOYA PARA BOX CULVERT,22.0565051155339,92.1090854592233,8.2,
N1,N1_link159,link,,,22.05421737873465,92.10907342396645,512.0000000000005,
N1,N1_LRP293a,bridge,0.0,PODUA BAZAR BOX CULVERT,22.0519296419354,92.1090613887096,12.6,
N1,N1_link160,link,,,22.0501504826989,92.1086276203229,387.00000000000045,
N1,N1_LRP293c,bridge,0.0,PODUA BAZAR BOX CULVERT,22.0483713234624,92.1081938519362,6.0,
N1,N1_link161,link,,,22.04623379004,92.10762840243865,535.000000000025,
N1,N1_LRP294a,bridge,0.0,BARO AWLIA(R),22.0440962566176,92.1070629529411,13.64,
N1,N1_link162,link,,,22.040843054597453,92.1055260311097,835.9999999999559,
N1,N1_LRP294c,bridge,0.0,TALOCKDNR PARA BOX CULVERT,22.0375898525773,92.1039891092783,2.5,
N1,N1_link163,link,,,22.03472736861665,92.10405688797246,652.0000000000437,
N1,N1_LRP295a,bridge,0.0,AMIRABAD BOX CULVERT,22.031864884656,92.1041246666666,2.5,
N1,N1_link164,link,,,22.0289347160766,92.1034107055246,698.9999999999554,
N1,N1_LRP296a,bridge,0.0,AMIRABAD LOHAGOR BOX CULVERT,22.0260045474972,92.1026967443826,2.0,
N1,N1_link165,link,,,22.02325128767055,92.10206225626496,650.0000000000341,
N1,N1_LRP296b,bridge,0.0,AMIRABAD LOHAGORA BOX CULVERT,22.0204980278439,92.1014277681473,10.0,
N1,N1_link166,link,,,22.0141590390832,92.0971021747188,1831.0000000000173,
N1,N1_LRP298a,bridge,0.0,LOHAGORA L.S BOX CULVERT,22.0078200503225,92.0927765812903,3.0,
N1,N1_link167,link,,,22.005996332150453,92.09167260795695,491.9999999999618,
N1,N1_LRP299a,bridge,0.0,DIGIRPARK BOX CULVERT,22.0041726139784,92.0905686346236,12.6,
N1,N1_link168,link,,,22.002301126989202,92.0894440056451,508.0000000000382,
N1,N1_LRP299c,bridge,0.0,DIGIRPAR BOX CULVERT,22.00042964,92.0883193766666,6.2,
N1,N1_link169,link,,,21.99813280208405,92.0878891446404,544.9999999999591,
N1,N1_LRP300a,bridge,0.0,ZADUNAGOR FILLING BOX CULVERT,21.9958359641681,92.0874589126142,3.0,
N1,N1_link170,link,,,21.995788483180903,92.087452488574,11.000000000024102,
N1,N1_LRP300b,bridge,0.0,ZADUNAPUR SHAPIR FILLING STATION -(2) BOX CULVERT,21.9957410021937,92.0874460645338,12.4,
N1,N1_link171,link,,,21.99301062328435,92.0865660153919,656.0000000000059,
N1,N1_LRP301a,bridge,0.0,ZADUNAGOR BUS STATION BOX CULVERT,21.990280244375,92.08568596625,14.2,
N1,N1_link172,link,,,21.988660559256452,92.0848401658836,408.00000000001546,
N1,N1_LRP301b,bridge,0.0009569377990430622,Aadunagor bridge,21.9870408741379,92.0839943655172,24.2,
N1,N1_link173,link,,,21.9844724589557,92.08238384596609,669.9999999999591,
N1,N1_LRP302a,bridge,0.0009569377990430622,HATIAR PULL PC GIDER BRIDGE,21.9819040437735,92.080773326415,22.5,
N1,N1_link174,link,,,21.98118320357965,92.07982247679016,266.9999999999959,
N1,N1_LRP302c,bridge,0.0,HATIAR PULL BOX CULVERT,21.9804623633858,92.0788716271653,18.7,
N1,N1_link175,link,,,21.9798804688274,92.0773604267405,345.0000000000273,
N1,N1_LRP302e,bridge,0.0,SHIX DAR PARA BOX CULVERT,21.979298574269,92.0758492263157,3.5,
N1,N1_link176,link,,,21.9765834886094,92.07208485263669,1089.999999999975,
N1,N1_LRP303a,bridge,0.0,MUSKAMPANI PARA BOX CULVERT,21.9738684029498,92.0683204789577,2.5,
N1,N1_link177,link,,,21.9714132613153,92.0662352953299,752.0000000000095,
